org,host_name,role,city,cadence,type,source_url,public_contact,fit_notes
"Adventure West Council, Scouting America",,,Boulder,,Colorado business org (chamber directory),awbsa.org,adventurewest@scouting.org,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Non-Profit Organizations
Allo Fiber,,,Boulder,,Colorado business org (chamber directory),www.allocommunications.com,dane.jacobi@allofiber.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Television/Cable/Satellite; Telecommunications; Communication Technology; Public
Alzheimer's Association,,,Denver,,Colorado business org (chamber directory),www.alz.org/co,tadenton@alz.org,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Non-Profit Organizations; Non-Profit Organizations
"Attune Collective, LLC",,,Boulder,,Colorado business org (chamber directory),attune-collective.com,contact@attune-collective.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Coaching - Executive/Professional
Autism Society of Boulder County,,,Boulder,,Colorado business org (chamber directory),http://www.autismboulder.org/,info@autismboulder.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Non-Profit Organizations; Human Services Agencies; Family, Community & Civic Org"
BC Interiors,,,Boulder,,Colorado business org (chamber directory),http://www.bcinteriors.com/,sales@bcinteriors.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Furniture - Office; Business & Professional Services
BDO,,,Grand Rapids,,Colorado business org (chamber directory),http://www.bdo.com/,cpe@bdo.com,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Accounting, Tax & Bookkeeping; Tax & Bookkeeping; Business & Professional Servic"
"Better Business Analytics (""BBA"")",,,Boulder,,Colorado business org (chamber directory),www.bettersolv.com,better@bettersolv.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Software - Development/Service; Technology Consulting & Research; Management Con
Better Business Bureau Great West + Pacific,,,Meridian,,Colorado business org (chamber directory),http://www.bbb.org/,info@thebbb.org,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Associations; Business & Professional Services
bldg.collective architecture + design,,,Boulder,,Colorado business org (chamber directory),http://www.bldgcollective.com/,info@bldgcollective.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Architects & Planners; Business & Professional Services
Blue Earth Talent,,,Boulder,,Colorado business org (chamber directory),www.blueearthtalent.com,cecilia@blueearthtalent.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Business & Professional Services; Business & Professional Services; Business Con
Bolder Young Professionals,,,Boulder,,Colorado business org (chamber directory),http://www.bolderyoungprofessionals.com/,info@boulderchamber.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Networking; Business & Professional Services
BOLO REALTORS,,,Boulder,,Colorado business org (chamber directory),http://www.bolorealtors.com/,veronica@bolorealtors.com,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Associations; Business & Professional Services
Boulder Area Rental Housing Association,,,Boulder,,Colorado business org (chamber directory),www.barhaonline.org,jen@barhaonline.org,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Non-Profit Organizations
Boulder Chamber,,,Boulder,,Colorado business org (chamber directory),www.boulderchamber.com,info@boulderchamber.com,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Associations; Family, Community & Civic Organizations; Chambers of Commerce; Ass"
Boulder Chamber Orchestra,,,Boulder,,Colorado business org (chamber directory),www.boulderchamberorchestra.org,info@boulderchamberorchestra.org,AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Performing Arts
Boulder Chamber Transportation Connections,,,Boulder,,Colorado business org (chamber directory),http://www.bouldertc.org/,info@bouldertc.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Non-Profit Organizations; Transportation; Family, Community & Civic Organization"
Boulder Council for International Visitors,,,Boulder,,Colorado business org (chamber directory),BCIV.org,zuza.bohley@bciv.org,"AUTO-FILTERED from Boulder Chamber directory; VET before sending. Categories: Family, Community & Civic Organizations; Non-Profit Organizations; Education; Co"
