verdict,why,reachability,org,city,public_contact,host_name,source_url,categories
keep,convening is the org's core function,2.5,Colorado Association of Commerce & Industry,Denver,mdollar@cochamber.com,,http://www.cochamber.com/,"Family, Community & Civic Organizations; Chambers of Commerce; Associations; Bus"
keep,convening is the org's core function,2.5,Colorado LGBTQ Chamber of Commerce,Denver,boco@colgbtqcc.org,,https://www.colgbtqcc.org/boco/,"Chambers of Commerce; LGBTQ Organizations; Family, Community & Civic Organizatio"
keep,convening is the org's core function,2.5,Colorado Women's Chamber of Commerce,Denver,billing@cwcc.org,,http://www.cwcc.org/,"Chambers of Commerce; Family, Community & Civic Organizations"
keep,convening is the org's core function,2.5,Greeley Chamber of Commerce,Greeley,macy@greeleychamber.com,,http://www.greeleychamber.com/,"Chambers of Commerce; Family, Community & Civic Organizations"
keep,convening is the org's core function,2,Bolder Young Professionals,Boulder,info@boulderchamber.com,,http://www.bolderyoungprofessionals.com/,Networking; Business & Professional Services
keep,convening is the org's core function,2,Boulder Chamber,Boulder,info@boulderchamber.com,,www.boulderchamber.com,"Associations; Family, Community & Civic Organizations; Chambers of Commerce; Ass"
keep,convening is the org's core function,2,Broomfield Chamber of Commerce,Broomfield,info@broomfieldchamber.com,,http://www.broomfieldchamber.com/,"Chambers of Commerce; Family, Community & Civic Organizations"
verify,could run member events - confirm a recurring mixer exists,2.5,"Adventure West Council, Scouting America",Boulder,adventurewest@scouting.org,,awbsa.org,Non-Profit Organizations
verify,could run member events - confirm a recurring mixer exists,2.5,Alzheimer's Association,Denver,tadenton@alz.org,,www.alz.org/co,Non-Profit Organizations; Non-Profit Organizations
verify,could run member events - confirm a recurring mixer exists,2.5,Blue Earth Talent,Boulder,cecilia@blueearthtalent.com,,www.blueearthtalent.com,Business & Professional Services; Business & Professional Services; Business Con
verify,could run member events - confirm a recurring mixer exists,2.5,BOLO REALTORS,Boulder,veronica@bolorealtors.com,,http://www.bolorealtors.com/,Associations; Business & Professional Services
verify,could run member events - confirm a recurring mixer exists,2.5,Boulder Area Rental Housing Association,Boulder,jen@barhaonline.org,,www.barhaonline.org,Non-Profit Organizations
verify,could run member events - confirm a recurring mixer exists,2.5,Boulder Council for International Visitors,Boulder,zuza.bohley@bciv.org,,BCIV.org,"Family, Community & Civic Organizations; Non-Profit Organizations; Education; Co"
verify,could run member events - confirm a recurring mixer exists,2.5,Boulder County Bar Association,Boulder,bay@boulder-bar.org,,http://www.boulder-bar.org/,"Family, Community & Civic Organizations; Non-Profit Organizations; Associations;"
verify,could run member events - confirm a recurring mixer exists,2.5,Boulder Rotary Club,Boulder,clubadmin@boulderrotary.org,,http://www.boulderrotary.org/,"Non-Profit Organizations; Family, Community & Civic Organizations"
verify,could run member events - confirm a recurring mixer exists,2.5,Boulder Valley Education Association,Lafayette,krutledge@coloradoea.org,,https://www.bouldervalleyea.org/,"Non-Profit Organizations; Family, Community & Civic Organizations"
verify,could run member events - confirm a recurring mixer exists,2.5,Debi Richards GSD LLC,Boulder,debi@debirichardsgsd.com,,https://debirichardsgsd.com/,Business & Professional Services; Business & Professional Services
verify,could run member events - confirm a recurring mixer exists,2.5,Early Childhood Council of Boulder County,Boulder,aharris@eccbouldercounty.org,,www.eccbouldercounty.org,Non-Profit Organizations
verify,could run member events - confirm a recurring mixer exists,2.5,First Flatiron Consulting,Boulder,clif.harald@firstflatironconsulting.com,,https://www.firstflatironconsulting.com/,Management Consultants; Business & Professional Services
